"","Hybrid_ID","Nfinal","Phyllochron","Leaf_tip_emerg","First_LiguloChrone","tt_firstligule_sinceapp","c","a","potKernelWt","GNmax","GrainNoMax","Res.Tnight","resp.Ri","GN15cor","SensiRAD","b"
"92","F752_H",16,0.0236188695046122,3.68657019284149,0.0136908976973603,30.0116926554021,3.28160158062707,4.21297247993242,428.796221961573,599.362801221223,4657.22232997686,-325.798237663198,4883.44918354311,10.3309414503287,0.38,-0.615945399811532
"93","F838_H",17,0.0210672134345743,3.26404387512852,0.0137961830653771,59.1550299423195,5.33280796859222,5.54355671383484,329.284958410142,604.178501730233,4453.85555413591,-281.794563937904,4371.33121866532,8.08191093694228,1.07,-0.771426844019291
"94","F874_H",15,0.0227385054098918,3.52707745794319,0.0150643300995097,60.8650568807372,4.54600911432007,4.44724930511548,376.385143793845,426.762267885971,3194.66311110814,-342.461391068668,4428.68637832017,5.15639990578013,0.17,-0.711787490865462
"95","F888_H",16,0.0261288268464476,3.40194713918314,0.0166276791720873,52.8150283333527,4.78981634181625,4.85259506155136,361.158585309586,518.953450048899,4246.43473260338,-370.886032514791,5251.5835111669,10.1626179518961,0.7,-0.730268078709671
"97","F908_H",16,0.0231893645828172,3.56409825038053,0.0163954197133681,68.6421374051755,3.85118756806799,3.97369791280392,343.586897905307,637.661367290719,3768.95592986172,-309.422985554343,4365.74759529245,6.96820967637274,0.24,-0.659120017659554
"98","F912_H",15,0.0234278654312488,3.53396400724473,0.0147541028083473,49.5351938715176,5.73985251012943,5.45354564783437,352.111595111551,709.364499077223,4163.9696095833,-434.203356140574,5737.00240329991,8.53843525061465,0.45,-0.802280820267811
"99","F918_H",17,0.0232239757565762,3.44865657738801,0.014982850098208,60.3655729063548,4.04091670762347,4.84358704479323,380.732521967083,542.355794273017,3940.00712585537,-314.44211602206,4419.18899933636,5.9727911727761,0.67,-0.673501486437859
"100","F922_H",16,0.0231057564807161,3.57724336803325,0.0166276791720873,52.8150283333527,6.46566239147244,4.73231262445679,338.522978698203,735.480319398675,4527.1631637933,-322.905050825067,4663.93087577111,5.92548317500958,0.58,-0.857297209273611
"101","F924_H",16,0.0217918636608856,3.26432644331291,0.0144583288351637,69.1136191275252,5.49792094087952,5.02877255427868,343.455325405332,713.442018569445,5242.21398224715,-303.401727344099,4764.23210598801,8.26558049641208,0.67,-0.783942407318668
"102","F98902_H",16,0.0242396701743884,3.5789660415928,0.016941698862914,50.1451391321967,5.27650479461742,4.73373072464381,349.573960083308,678.589124792141,4924.20894252204,-439.978301592906,5828.22379507217,9.07078577288758,0.34,-0.767159063432
"103","FP1_H",15,0.0260823087142285,3.11926086005035,0.0159788166395807,70.7658691496268,6.05791940790823,5.79787384512961,304.847270563434,533.915769349468,4388.78762405263,-384.161875939502,5586.69480245441,7.95764763772692,0.57,-0.826390291119444
"104","FR19_H",16,0.0260836327400336,2.93905269272511,0.0163954197133681,68.6421374051755,4.06401215224329,4.12979916465773,331.860146999784,582.013117041995,4333.82861710432,-290.86084239989,4467.70950038377,6.52843802914248,0.12,-0.675252121140041
"106","H99_H",16,0.0206698824137289,3.95401480217907,0.0129386488124901,26.1029732356331,4.77985373427919,4.62920796433585,395.73145100289,612.811855393037,3778.51152044151,-313.387549808818,4850.97808842577,7.61239617318646,1.12,-0.729512913058362
"107","HMV5301_H",15,0.0187588794597334,3.60182288672809,0.0138601835888114,67.3694461848763,6.46764368696646,5.16049190421798,418.152951335555,523.377845789685,3797.13139064597,-272.462375034462,4628.23463214037,7.45157957192364,0.91,-0.857447391472058
"108","HMV5325_H",16,0.0237889224118342,3.1497562529175,0.0161312279000263,66.8937826058375,5.86796738127709,4.67980495504873,330.790924235614,562.442133987278,4341.16310997389,-298.781174176831,4663.46989457708,7.60775808680398,0.2,-0.811991927500803
"109","HMV5343_H",16,0.0218083212422727,3.72123004429449,0.0157494435129443,55.7883835082225,4.09951466143916,4.41637138288441,410.078428067429,512.687280118435,4327.08064419959,-236.857839885551,3954.59442115813,5.82335948251018,0.1,-0.677943211337088
